293,36,310,52
291,52,311,71
302,25,320,42
311,31,329,48
310,41,328,58
307,43,325,60
319,69,337,86
329,80,348,98
334,74,354,93
332,45,353,65
328,39,349,59
324,58,345,78
324,64,345,84
324,72,345,92
331,63,352,83
331,56,352,76
327,94,349,115
313,122,335,143
292,121,314,142
284,122,306,143
283,102,306,124
282,88,304,109
277,90,300,112
282,100,305,122
284,94,308,117
280,70,305,94
282,37,308,62
281,28,307,53
282,14,308,40
276,-5,301,20
134,42,154,61
132,60,152,79
124,72,146,93
121,97,147,122
107,94,136,122
88,87,117,115
65,74,102,109
50,70,89,107
10,70,67,124
-38,86,36,156
-62,94,17,168
NaN,NaN,NaN,NaN
309,1,332,23
307,4,331,27
313,32,337,55
316,50,341,74
318,67,344,92
318,63,344,89
313,60,339,86
307,57,333,83
304,51,330,77
299,42,325,67
295,31,321,56
294,31,320,56
294,42,319,66
291,47,316,71
289,56,314,80
288,70,313,94
273,76,299,101
251,66,277,91
246,94,272,119
270,77,296,102
269,36,295,61
271,38,297,63
277,60,301,83
294,87,317,109
301,96,324,118
305,104,328,126
305,106,328,128
312,113,335,135
311,123,334,145
312,124,336,147
292,101,316,124
279,55,303,78
279,54,303,77
284,71,308,94
288,74,312,97
293,72,317,95
295,65,320,89
297,55,322,79
301,58,326,82
305,62,330,86
306,58,331,82
308,55,333,79
306,52,332,77
303,54,329,79
300,39,326,65
297,33,323,59
296,40,322,65
296,29,322,54
296,17,322,42
303,-3,331,24
308,-7,336,20
306,-11,335,17
305,-11,334,17
311,9,340,37
307,35,334,61
296,68,322,94
290,74,316,99
264,55,362,149
262,52,364,149
251,49,359,151
246,56,357,161
238,63,352,171
237,56,353,166
243,25,364,139
249,1,375,120
248,1,374,120
257,-5,394,125
269,-4,404,124
274,0,409,128
280,-4,415,124
280,-7,414,119
280,-11,414,115
275,-8,410,119
269,-5,406,124
270,1,405,128
273,11,408,138
281,38,413,162
281,26,413,150
272,-16,405,109
300,30,329,58
304,30,333,58
311,50,340,78
318,88,347,116
318,106,348,135
322,121,352,150
322,114,352,143
324,111,354,140
335,111,365,140
335,110,365,139
325,109,355,138
331,98,362,128
335,79,366,109
333,47,364,77
328,45,360,75
322,60,354,90
326,88,358,118
333,92,365,122
341,95,373,125
345,96,377,126
351,89,383,119
356,85,389,116
355,63,388,94
349,59,383,91
335,80,369,112
329,92,363,124
327,95,361,127
323,111,357,143
323,118,357,150
325,119,359,151
333,106,368,139
336,96,371,129
333,81,368,114
335,87,370,120
