273,95,294,116
277,81,299,103
278,76,300,98
281,72,303,94
283,69,305,91
286,76,308,98
287,85,309,107
285,100,307,122
280,107,302,129
272,115,294,137
265,123,287,145
258,132,280,154
251,138,273,160
246,144,268,166
242,146,264,168
241,143,263,165
239,135,261,157
238,122,260,144
241,117,263,139
247,111,269,133
253,108,275,130
255,115,277,137
246,117,268,139
240,111,262,133
236,114,258,136
235,110,257,132
236,118,258,140
237,126,259,148
234,134,256,156
228,137,250,159
224,141,246,163
221,143,243,165
218,138,241,161
216,135,238,157
214,130,236,152
214,136,236,158
216,140,238,162
218,142,240,164
220,140,242,162
223,143,245,165
223,139,245,161
221,137,243,159
221,137,243,159
222,137,244,159
223,139,245,161
224,141,246,163
224,145,246,167
225,148,247,170
225,151,247,173
225,153,247,175
226,154,248,176
227,151,249,173
228,147,250,169
231,144,253,166
234,141,256,163
238,139,260,161
241,135,263,157
242,128,264,150
244,122,266,144
247,121,269,143
248,118,270,140
247,116,269,138
247,114,269,136
249,118,271,140
249,118,271,140
247,116,269,138
245,117,267,139
243,120,265,142
242,126,264,148
241,130,263,152
239,130,261,152
238,129,260,151
238,130,260,152
237,131,259,153
234,131,256,153
231,131,253,153
228,133,250,155
225,136,247,158
223,139,245,161
222,142,244,164
221,144,243,166
221,147,243,169
221,151,243,173
222,155,244,177
223,158,244,179
224,160,245,181
225,158,246,179
227,153,248,174
229,147,250,168
231,144,253,166
231,141,253,163
229,141,251,163
225,143,247,165
220,145,242,167
217,148,239,170
215,151,237,173
215,152,237,174
215,153,237,175
215,154,237,176
215,158,237,180
215,158,237,180
215,157,237,179
215,159,237,181
217,162,239,184
219,161,241,183
221,161,243,183
225,164,247,186
229,164,251,186
234,163,256,185
240,163,262,185
246,168,268,190
250,174,272,196
253,182,275,204
255,184,278,207
254,181,277,204
249,174,272,197
245,169,268,192
242,163,265,186
241,159,264,182
240,155,263,178
241,153,264,176
243,149,265,171
244,145,266,167
244,140,266,162
245,138,267,160
247,140,269,162
247,140,269,162
247,143,269,165
246,145,268,167
245,144,267,166
243,135,265,157
241,126,263,148
242,121,264,143
243,114,265,136
243,108,265,130
244,105,266,127
245,107,267,129
246,111,269,134
246,112,269,135
246,110,269,133
247,105,269,127
249,102,271,124
252,95,274,117
255,89,277,111
259,86,281,108
262,87,284,109
263,89,285,111
262,91,284,113
259,94,281,116
255,96,277,118
253,99,275,121
251,102,273,124
250,106,272,128
249,108,271,130
249,107,271,129
249,105,271,127
251,105,273,127
254,108,276,130
257,110,279,132
258,108,281,131
258,108,281,131
259,109,282,132
260,111,283,134
261,113,284,136
262,115,285,138
262,116,285,139
262,117,285,140
262,116,285,139
263,114,286,137
265,112,288,135
267,109,290,132
270,106,293,129
274,105,297,128
277,105,300,128
279,105,302,128
280,108,303,131
281,112,304,135
281,114,304,137
279,112,302,135
277,110,300,133
278,109,301,132
280,106,303,129
282,102,305,125
282,99,305,122
283,98,306,121
285,98,308,121
286,99,309,122
285,100,308,123
285,105,308,128
285,111,308,134
284,116,307,139
281,118,304,141
280,123,303,146
281,132,304,155
282,140,305,163
282,143,305,166
281,143,304,166
281,141,304,164
280,137,303,160
279,132,302,155
277,125,300,148
275,118,298,141
274,117,297,140
274,119,297,142
273,119,296,142
272,118,295,141
273,119,296,142
275,122,298,145
276,123,299,146
276,124,299,147
276,128,299,151
278,133,301,156
279,133,302,156
278,127,301,150
277,119,300,142
278,117,301,140
278,121,301,144
275,126,298,149
270,123,293,146
266,122,289,145
265,123,288,146
265,120,288,143
267,115,290,138
271,116,294,139
274,120,297,143
276,123,299,146
276,126,299,149
275,128,298,151
273,129,296,152
271,131,293,153
269,133,291,155
266,131,288,153
263,130,285,152
261,132,283,154
261,134,283,156
260,133,282,155
259,132,281,154
259,132,281,154
260,132,282,154
262,134,284,156
264,136,286,158
264,134,286,156
264,136,286,158
263,138,285,160
261,137,283,159
259,135,281,157
258,134,281,157
259,134,282,157
260,134,283,157
260,131,283,154
260,129,283,152
260,126,283,149
259,124,282,147
259,124,282,147
259,125,282,148
257,125,280,148
255,125,278,148
254,125,277,148
254,123,277,146
254,125,277,148
254,127,277,150
255,127,278,150
256,127,279,150
256,125,279,148
256,123,279,146
257,126,280,149
258,130,281,153
258,134,281,157
258,140,281,163
259,145,282,168
259,147,282,170
257,144,280,167
256,140,279,163
256,135,279,158
254,125,276,147
255,129,277,151
254,129,275,150
251,124,272,145
249,120,271,142
248,115,270,137
249,110,272,133
252,108,274,130
255,110,277,132
