124,136,145,189,0
131,134,152,188,8
137,135,158,189,8
142,136,162,187,8
148,137,168,187,8
154,137,174,187,8
160,137,180,186,6
165,137,185,186,8
173,138,192,186,8
177,139,196,186,8
183,139,202,187,8
189,140,208,188,8
195,139,214,186,8
202,140,221,188,8
206,141,225,189,8
214,140,233,188,8
219,142,238,190,8
224,141,243,189,8
232,141,251,188,8
235,142,254,189,8
244,141,263,188,8
248,142,267,190,8
252,141,271,189,8
259,141,278,190,8
261,140,280,190,8
269,142,288,191,8
273,143,292,193,8
277,142,297,192,8
285,146,305,196,8
286,147,306,197,8
293,145,313,194,8
296,149,316,198,8
299,148,319,197,8
252,10,385,335,6
251,10,385,338,7
258,7,392,335,7
258,9,394,341,6
255,6,392,340,7
251,5,388,339,7
236,5,374,342,6
224,3,362,340,7
208,3,347,343,6
191,3,330,343,7
179,3,318,344,7
224,160,245,213,4
213,159,234,212,8
196,163,217,216,8
181,161,202,214,8
170,164,191,216,8
151,166,172,216,8
142,165,163,215,8
131,170,152,221,8
122,168,143,218,8
121,168,142,218,8
114,170,135,221,8
118,169,139,221,6
120,170,142,224,8
120,170,142,224,8
125,170,147,224,8
126,173,148,228,8
130,175,152,230,8
129,177,151,231,8
135,176,157,230,8
154,189,174,238,6
150,190,170,238,8
152,190,172,237,8
149,193,169,239,8
150,192,169,237,8
150,195,169,240,8
148,194,167,239,8
150,194,169,239,8
147,197,166,243,6
150,195,169,241,8
153,196,172,241,8
150,198,169,243,7
155,196,174,241,7
157,200,176,245,7
159,199,178,245,7
169,201,188,247,7
170,203,189,250,6
181,202,200,249,7
189,205,208,252,7
195,206,214,252,7
209,206,228,252,7
213,209,232,254,6
222,208,241,254,7
233,210,252,256,7
239,210,258,257,7
250,209,269,255,7
256,212,274,256,7
257,211,275,256,7
264,213,281,256,7
265,216,282,258,7
266,216,283,258,7
264,218,281,260,7
257,219,273,259,7
253,220,269,261,7
246,222,262,263,7
242,222,258,263,7
236,224,252,265,7
229,225,245,266,7
226,225,241,264,7
218,226,234,267,7
213,226,229,267,7
208,229,223,268,7
200,229,216,270,6
196,230,211,269,7
188,230,204,271,7
185,231,201,272,7
179,232,196,276,6
178,231,196,277,7
179,232,197,278,6
177,228,198,283,7
180,227,202,285,7
179,223,205,292,7
181,222,208,293,7
182,222,209,294,7
184,222,211,295,7
185,224,211,294,7
187,221,215,296,7
189,223,215,293,7
189,224,215,294,7
192,222,219,296,7
192,223,219,298,7
193,223,219,296,7
196,224,222,297,7
195,224,221,296,7
198,223,225,297,7
199,222,227,299,7
200,221,229,300,7
201,221,231,301,7
204,221,234,301,7
204,221,234,301,7
206,221,236,302,7
206,220,237,304,7
206,218,239,307,7
207,218,240,307,7
209,217,243,308,7
210,216,245,309,7
209,213,246,311,7
212,212,250,312,7
211,211,249,312,7
213,209,251,311,7
213,207,252,312,7
208,205,249,316,7
204,200,247,318,6
200,200,243,318,7
191,196,236,318,7
186,192,232,317,7
177,190,224,318,7
167,184,216,317,7
158,180,208,317,7
143,174,196,319,7
133,169,187,316,7
107,77,194,314,6
104,70,192,310,7
98,66,187,310,7
94,61,183,305,7
94,57,183,301,7
91,52,180,296,7
93,46,182,290,7
92,41,181,285,7
97,33,186,277,7
97,30,186,274,7
96,23,185,268,7
106,16,195,262,7
106,13,195,259,7
110,5,199,251,7
118,2,206,246,7
117,-3,205,241,7
124,-10,212,234,7
127,-13,215,231,7
130,-21,219,224,7
137,-26,226,219,7
137,-29,226,217,7
144,-35,233,212,7
144,-35,233,212,7
132,150,147,187,4
138,148,153,185,8
139,148,154,185,6
148,145,163,182,6
150,147,165,184,6
153,145,168,182,6
161,145,176,182,6
161,146,176,184,8
169,144,184,182,6
170,146,185,184,6
171,144,186,182,6
177,144,192,182,6
175,144,190,183,6
179,140,194,179,6
181,140,197,180,8
180,138,196,179,6
185,136,201,177,6
184,137,200,178,6
186,134,202,175,6
190,134,206,175,6
189,133,205,174,6
192,131,208,172,6
194,132,210,173,6
195,131,211,172,6
199,129,215,170,6
199,130,215,170,6
201,129,217,170,8
203,129,219,169,6
207,128,223,168,8
208,127,224,167,6
210,126,226,166,6
212,124,228,164,6
213,123,229,162,7
214,121,230,160,7
215,120,231,159,6
212,120,228,159,6
214,119,230,158,6
209,120,225,159,6
208,118,224,158,6
203,120,219,160,6
199,119,215,159,6
198,120,214,160,6
193,121,209,161,6
191,120,207,161,7
188,121,204,162,6
185,120,201,161,6
181,122,197,162,6
177,120,193,160,6
175,120,191,160,6
169,121,185,160,6
167,120,183,159,6
163,122,179,161,6
157,121,173,160,6
157,122,173,161,6
147,123,163,162,6
147,122,163,161,6
141,125,157,164,6
136,124,152,163,6
135,126,151,165,6
127,127,143,166,6
125,126,141,165,6
121,127,137,166,6
117,127,133,166,6
116,129,132,168,6
114,129,130,168,6
113,130,129,169,6
110,131,126,170,6
111,132,127,171,6
111,132,127,171,6
111,132,127,171,8
104,137,120,176,6
101,138,117,177,8
98,142,114,181,6
98,142,114,182,6
96,144,112,184,6
93,144,109,185,6
93,145,109,186,6
90,146,106,187,6
89,148,105,188,6
86,149,102,189,6
87,150,103,190,6
91,151,107,191,6
98,153,114,192,6
102,155,118,194,6
109,156,125,195,6
113,158,129,198,6
118,159,134,199,6
125,162,141,202,6
132,164,148,204,6
141,166,157,206,6
148,167,164,207,6
158,168,174,208,6
165,171,181,211,6
173,171,189,211,6
179,174,195,214,6
177,175,193,215,6
179,175,195,215,6
175,179,191,219,6
169,179,185,218,6
168,181,184,220,6
156,185,172,224,6
150,184,166,223,6
144,187,160,226,6
135,187,151,226,6
129,188,145,227,6
120,188,136,227,6
116,187,132,226,8
105,189,121,228,6
103,187,119,227,6
101,190,117,230,6
93,191,109,231,6
98,189,114,228,6
92,192,108,231,6
93,191,109,229,6
95,193,111,231,6
90,193,106,230,6
94,192,110,229,6
91,195,107,232,6
91,193,107,230,6
91,195,107,232,6
87,196,103,232,6
90,194,106,230,6
87,196,103,232,6
87,194,103,230,6
87,195,103,232,6
82,194,98,231,6
86,193,102,230,6
82,194,98,231,6
85,191,101,227,6
89,192,105,228,6
86,191,102,227,6
93,189,109,225,6
94,191,110,226,6
99,187,115,222,6
105,188,121,223,6
105,186,121,221,6
114,183,130,218,6
114,184,130,219,6
120,181,136,216,6
124,180,140,216,6
125,178,141,214,6
132,176,148,212,6
133,175,149,211,6
138,171,154,207,6
143,170,159,206,6
144,167,160,203,6
151,165,167,201,6
153,165,169,201,6
157,163,173,199,6
161,162,177,198,6
161,162,177,198,6
169,158,185,194,6
172,158,188,194,6
176,156,192,192,6
181,156,197,192,6
180,155,196,191,6
181,152,197,188,6
181,152,197,188,6
176,149,192,185,6
177,150,193,186,6
