154,102,178,154
152,103,176,155
150,104,174,156
149,105,172,154
147,106,170,155
145,107,168,156
144,108,167,157
142,108,165,157
141,109,164,158
140,110,163,158
138,110,161,159
136,110,159,159
135,111,158,159
133,111,156,159
132,112,155,159
130,113,153,160
128,113,151,161
126,114,148,162
124,115,146,163
121,116,143,165
118,117,140,165
116,117,138,166
114,119,136,168
111,120,133,169
109,121,131,170
106,122,128,171
103,122,125,172
100,123,122,172
98,123,120,172
96,123,118,172
93,124,115,173
87,123,109,171
83,124,105,172
78,123,100,171
74,122,96,170
69,121,91,170
63,119,85,167
60,120,82,169
54,119,76,168
51,118,73,167
45,117,67,166
40,116,62,165
36,115,58,164
30,114,52,163
26,114,48,163
21,111,43,160
18,111,40,159
13,108,35,156
9,107,31,155
5,106,27,154
0,103,22,150
-4,101,18,147
-11,97,12,145
-12,88,11,136
NaN,NaN,NaN,NaN
222,192,239,228
213,187,229,222
208,184,224,219
200,180,224,232
195,176,219,229
192,174,215,226
187,171,210,223
183,168,206,220
182,166,205,217
180,162,203,213
179,160,202,211
177,156,200,207
175,154,198,205
174,150,197,201
174,148,197,199
175,145,198,196
178,143,200,193
182,140,204,190
186,138,208,187
189,135,211,184
196,132,218,181
205,130,227,179
216,128,238,177
227,125,249,173
240,123,262,171
254,121,276,169
265,119,287,167
278,116,300,164
291,115,313,162
59,34,81,81
72,34,94,82
84,33,106,81
98,33,120,82
108,33,131,82
118,32,141,81
123,31,145,79
126,31,148,80
122,31,145,80
115,31,138,80
108,31,131,80
101,32,123,80
94,32,117,81
87,31,110,81
80,33,103,82
73,33,96,82
65,35,88,83
57,35,79,83
50,36,72,84
41,37,63,85
35,36,57,84
29,37,51,85
26,37,48,85
25,37,47,84
21,39,43,86
19,37,41,85
16,39,38,87
11,38,33,86
9,39,31,87
5,39,27,88
4,37,26,85
1,38,23,85
-1,37,21,84
-2,38,20,84
-4,37,18,82
-2,38,20,83
-2,37,20,82
0,37,22,82
5,37,26,83
12,35,34,82
32,34,54,81
41,33,63,81
50,33,72,81
60,31,82,79
70,32,92,81
79,29,101,78
91,29,113,78
98,28,120,77
106,26,128,75
112,26,134,74
118,25,140,74
122,25,144,73
125,25,147,73
126,25,148,73
129,24,151,72
130,24,152,72
133,24,155,72
136,24,158,72
138,22,160,70
140,21,162,69
140,21,162,69
140,20,162,68
141,20,163,68
142,19,164,67
142,18,164,67
141,17,163,66
142,16,164,65
142,16,164,64
144,15,166,63
144,15,166,63
144,15,166,63
144,15,166,63
145,16,167,64
145,15,167,63
146,15,168,63
146,14,168,63
147,13,169,61
147,13,169,61
148,12,170,60
148,12,170,60
148,11,170,60
149,12,171,60
149,10,171,58
150,10,172,59
150,9,172,58
151,9,173,58
151,8,173,57
152,7,174,56
149,7,171,56
148,6,170,55
145,7,167,56
142,6,164,55
140,7,162,56
136,8,158,57
135,8,157,57
132,9,154,57
130,8,152,57
